x,y
0.749013,-0.517081
0.884336,-0.5874
0.986995,-0.621664
1.06282,-0.626008
1.11765,-0.606567
1.15731,-0.569476
1.18763,-0.52087
1.21446,-0.466884
1.24361,-0.413654
1.28093,-0.367314
1.33224,-0.334
1.40206,-0.31885
1.48494,-0.319514
1.57091,-0.330239
1.64997,-0.345253
1.71214,-0.358786
1.74825,-0.365304
1.75789,-0.361805
1.74593,-0.346809
1.71732,-0.318859
1.67699,-0.276497
1.62997,-0.218441
1.58265,-0.146198
1.54249,-0.063471
1.517,0.025973
1.51366,0.118369
1.53957,0.209978
1.59202,0.297728
1.65821,0.379232
1.72483,0.452137
1.77859,0.514089
1.80632,0.562759
1.79957,0.596902
1.75627,0.616739
1.67483,0.622594
1.55365,0.61479
1.39116,0.593675
1.19033,0.561592
0.962133,0.52444
0.718365,0.488483
0.47083,0.459987
0.231312,0.445206
0.00767137,0.44747
-0.201523,0.463198
-0.399043,0.48781
-0.587659,0.516726
-0.770143,0.545367
-0.947282,0.568591
-1.11356,0.579474
-1.2622,0.570737
-1.38645,0.535101
-1.47952,0.465289
-1.53664,0.357137
-1.56165,0.219942
-1.56067,0.0666312
-1.53987,-0.089865
-1.50538,-0.236617
-1.46163,-0.362195
-1.40292,-0.464003
-1.31982,-0.542674
-1.20291,-0.598844
-1.04277,-0.633153
-0.832346,-0.646614
-0.583987,-0.643318
-0.319496,-0.628859
-0.0607441,-0.60884
0.170396,-0.588865
0.353525,-0.574772
0.485365,-0.575134
0.573684,-0.600285
0.626434,-0.660588
0.651567,-0.766408
0.656917,-0.927093
0.648313,-1.13442
0.629881,-1.36529
0.605696,-1.59616
0.579831,-1.80345
0.556412,-1.96411
0.54096,-2.06892
0.540542,-2.12391
0.562309,-2.13595
0.613406,-2.11189
0.700842,-2.05853
0.824599,-1.98086
0.974484,-1.88122
1.13951,-1.76174
1.30869,-1.62453
1.47104,-1.47173
1.61719,-1.30453
1.74081,-1.12237
1.83589,-0.924487
1.89645,-0.710119
1.9165,-0.478518
1.89237,-0.233688
1.82633,0.00827987
1.72153,0.229401
1.58117,0.411692
1.40841,0.537169
1.20934,0.597413
1.00008,0.616818
0.798853,0.626812
0.623908,0.658819
0.493486,0.744266
0.419757,0.905725
0.38656,1.12444
0.369474,1.36962
0.34408,1.61046
0.285955,1.81616
0.175762,1.9589
0.0266173,2.02985
-0.135596,2.02765
-0.284964,1.95097
-0.395575,1.79846
-0.445415,1.57134
-0.447148,1.29352
-0.431606,1.00082
-0.429784,0.729138
-0.472676,0.514405
-0.588658,0.389274
-0.772657,0.344796
-0.996493,0.34328
-1.23153,0.346464
-1.44913,0.316086
-1.62126,0.215772
-1.73165,0.0456536
-1.77464,-0.161118
-1.74496,-0.370204
-1.63734,-0.547262
-1.44695,-0.658738
-1.18293,-0.695926
-0.87091,-0.679507
-0.537481,-0.631858
-0.209233,-0.575355
0.0874791,-0.532197
0.340449,-0.513815
0.559398,-0.514958
0.755931,-0.528938
0.941657,-0.549067
1.12813,-0.568652
1.3195,-0.580188
1.50475,-0.574504
1.67101,-0.542227
1.80538,-0.473981
1.89501,-0.360404
1.93322,-0.198446
1.93029,-0.00235044
1.89941,0.210709
1.85371,0.423559
1.80638,0.619025
1.76756,0.784238
1.73633,0.922275
1.70916,1.0399
1.68254,1.14389
1.65296,1.241
1.61753,1.33677
1.57653,1.43049
1.53123,1.51951
1.48291,1.60117
1.43284,1.67279
1.38121,1.73204
1.32066,1.7788
1.24065,1.8139
1.13061,1.83815
0.979993,1.85238
0.780032,1.85751
0.5394,1.85528
0.276562,1.84792
0.0100949,1.83767
-0.241426,1.82675
-0.4604,1.81725
-0.64295,1.80904
-0.795346,1.80041
-0.924096,1.78957
-1.03571,1.77477
-1.13648,1.75414
-1.22811,1.72368
-1.30786,1.67729
-1.37281,1.60881
-1.42004,1.51209
-1.44676,1.38115
-1.45492,1.21754
-1.4525,1.03227
-1.44784,0.836987
-1.4493,0.643306
-1.46514,0.462762
-1.49766,0.299761
-1.53919,0.146875
-1.58114,-0.00443893
-1.61491,-0.162724
-1.63191,-0.33651
-1.62592,-0.531981
-1.59585,-0.750154
-1.54133,-0.991362
-1.46196,-1.25593
-1.35736,-1.5442
-1.22714,-1.8565
-1.07091,-2.19315
-0.888298,-2.55449
-0.678907,-2.94085
-0.442353,-3.35255
