x,y,time
0.749013,-0.517081,0
0.884336,-0.5874,0.305006
0.986995,-0.621664,0.521458
1.06282,-0.626008,0.673359
1.11765,-0.606567,0.789703
1.15731,-0.569476,0.898305
1.18763,-0.52087,1.01289
1.21446,-0.466884,1.13345
1.24361,-0.413654,1.25483
1.28093,-0.367314,1.37383
1.33224,-0.334,1.49619
1.40206,-0.31885,1.63907
1.48494,-0.319514,1.80483
1.57091,-0.330239,1.9781
1.64997,-0.345253,2.13906
1.71214,-0.358786,2.26631
1.74825,-0.365304,2.3397
1.75789,-0.361805,2.36021
1.74593,-0.346809,2.39857
1.71732,-0.318859,2.47857
1.67699,-0.276497,2.59555
1.62997,-0.218441,2.74497
1.58265,-0.146198,2.91769
1.54249,-0.063471,3.10161
1.517,0.025973,3.28762
1.51366,0.118369,3.47253
1.53957,0.209978,3.66293
1.59202,0.297728,3.8674
1.65821,0.379232,4.07738
1.72483,0.452137,4.2749
1.77859,0.514089,4.43896
1.80632,0.562759,4.55099
1.79957,0.596902,4.6206
1.75627,0.616739,4.71585
1.67483,0.622594,4.87915
1.55365,0.61479,5.12202
1.39116,0.593675,5.44972
1.19033,0.561592,5.85647
0.962133,0.52444,6.31888
0.718365,0.488483,6.81169
0.47083,0.459987,7.31003
0.231312,0.445206,7.78998
0.00767137,0.44747,8.23728
-0.201523,0.463198,8.65685
-0.399043,0.48781,9.05495
-0.587659,0.516726,9.43659
-0.770143,0.545367,9.80602
-0.947282,0.568591,10.1633
-1.11356,0.579474,10.4966
-1.2622,0.570737,10.7944
-1.38645,0.535101,11.0529
-1.47952,0.465289,11.2856
-1.53664,0.357137,11.5302
-1.56165,0.219942,11.8091
-1.56067,0.0666312,12.1158
-1.53987,-0.089865,12.4315
-1.50538,-0.236617,12.733
-1.46163,-0.362195,12.999
-1.40292,-0.464003,13.234
-1.31982,-0.542674,13.4629
-1.20291,-0.598844,13.7223
-1.04277,-0.633153,14.0498
-0.832346,-0.646614,14.4715
-0.583987,-0.643318,14.9683
-0.319496,-0.628859,15.4981
-0.0607441,-0.60884,16.0171
0.170396,-0.588865,16.4811
0.353525,-0.574772,16.8485
0.485365,-0.575134,17.1121
0.573684,-0.600285,17.2958
0.626434,-0.660588,17.456
0.651567,-0.766408,17.6736
0.656917,-0.927093,17.9951
0.648313,-1.13442,18.4101
0.629881,-1.36529,18.8733
0.605696,-1.59616,19.3376
0.579831,-1.80345,19.7554
0.556412,-1.96411,20.0801
0.54096,-2.06892,20.292
0.540542,-2.12391,20.402
0.562309,-2.13595,20.4517
0.613406,-2.11189,20.5647
0.700842,-2.05853,20.7696
0.824599,-1.98086,21.0618
0.974484,-1.88122,21.4217
1.13951,-1.76174,21.8292
1.30869,-1.62453,22.2649
1.47104,-1.47173,22.7108
1.61719,-1.30453,23.1549
1.74081,-1.12237,23.5952
1.83589,-0.924487,24.0343
1.89645,-0.710119,24.4798
1.9165,-0.478518,24.9447
1.89237,-0.233688,25.4368
1.82633,0.00827987,25.9384
1.72153,0.229401,26.4278
1.58117,0.411692,26.8879
1.40841,0.537169,27.315
1.20934,0.597413,27.7309
1.00008,0.616818,28.1513
0.798853,0.626812,28.5542
0.623908,0.658819,28.9099
0.493486,0.744266,29.2218
0.419757,0.905725,29.5767
0.38656,1.12444,30.0192
0.369474,1.36962,30.5107
0.34408,1.61046,30.9951
0.285955,1.81616,31.4226
0.175762,1.9589,31.7832
0.0266173,2.02985,32.1136
-0.135596,2.02765,32.438
-0.284964,1.95097,32.7738
-0.395575,1.79846,33.1506
-0.445415,1.57134,33.6157
-0.447148,1.29352,34.1713
-0.431606,1.00082,34.7575
-0.429784,0.729138,35.3009
